time,count,replicate,sample_id,condition,file_id
1,138,1,S1,untreated,logistic_demo_a
1,145,2,S1,untreated,logistic_demo_a
1,133,3,S1,untreated,logistic_demo_a
2,192,1,S1,untreated,logistic_demo_a
2,185,2,S1,untreated,logistic_demo_a
2,201,3,S1,untreated,logistic_demo_a
3,276,1,S1,untreated,logistic_demo_a
3,262,2,S1,untreated,logistic_demo_a
3,284,3,S1,untreated,logistic_demo_a
4,402,1,S1,untreated,logistic_demo_a
4,381,2,S1,untreated,logistic_demo_a
4,395,3,S1,untreated,logistic_demo_a
5,551,1,S1,untreated,logistic_demo_a
5,578,2,S1,untreated,logistic_demo_a
5,543,3,S1,untreated,logistic_demo_a
6,824,1,S1,untreated,logistic_demo_a
6,790,2,S1,untreated,logistic_demo_a
6,842,3,S1,untreated,logistic_demo_a
7,1162,1,S1,untreated,logistic_demo_a
7,1210,2,S1,untreated,logistic_demo_a
7,1138,3,S1,untreated,logistic_demo_a
8,1685,1,S1,untreated,logistic_demo_a
8,1744,2,S1,untreated,logistic_demo_a
8,1652,3,S1,untreated,logistic_demo_a
9,2495,1,S1,untreated,logistic_demo_a
9,2378,2,S1,untreated,logistic_demo_a
9,2527,3,S1,untreated,logistic_demo_a
10,3521,1,S1,untreated,logistic_demo_a
10,3386,2,S1,untreated,logistic_demo_a
10,3478,3,S1,untreated,logistic_demo_a
11,4716,1,S1,untreated,logistic_demo_a
11,4555,2,S1,untreated,logistic_demo_a
11,4829,3,S1,untreated,logistic_demo_a
12,5942,1,S1,untreated,logistic_demo_a
12,6128,2,S1,untreated,logistic_demo_a
12,6037,3,S1,untreated,logistic_demo_a
13,7198,1,S1,untreated,logistic_demo_a
13,7390,2,S1,untreated,logistic_demo_a
13,7102,3,S1,untreated,logistic_demo_a
14,8124,1,S1,untreated,logistic_demo_a
14,8311,2,S1,untreated,logistic_demo_a
14,8015,3,S1,untreated,logistic_demo_a
